9,9,9,9,9,9,9,9,9,9,,9
8,7,10,15,6,9,12,12,11,6,,9.6
13,7,9,13,7,10,12,12,13,6,,10.2
13,7,7,14,6,11,14,10,14,3,,9.9
15,7,7,12,6,12,10,10,13,4,,9.6
14,7,7,13,4,11,10,10,14,3,,9.3
14,8,4,12,6,9,9,9,16,4,,9.1
11,8,4,12,6,11,9,8,19,5,,9.3
13,5,3,11,6,12,9,6,12,4,,8.1
13,4,3,11,5,11,8,7,13,7,,8.2
12,2,2,11,6,11,15,6,12,9,,8.6
14,1,2,12,6,13,15,6,14,8,,9.1
16,1,1,10,8,14,15,7,14,6,,9.2
16,1,1,9,8,12,17,8,11,6,,8.9
15,1,1,9,6,11,17,7,13,5,,8.5
16,1,0,13,6,12,17,8,12,5,,9
15,1,0,15,7,11,18,8,9,7,,9.1
16,1,0,16,7,11,20,8,8,6,,9.3
15,1,0,15,7,10,20,9,8,6,,9.1
17,1,0,12,7,10,17,7,8,7,,8.6
19,1,0,12,6,11,18,5,10,8,,9
19,1,0,15,6,11,21,7,11,8,,9.9
16,0,0,14,8,11,20,6,9,11,,9.5
16,0,0,16,8,11,19,6,8,9,,9.3
18,0,0,14,8,13,19,10,10,9,,10.1
19,0,0,13,8,14,21,8,12,9,,10.4
17,0,0,12,8,12,21,8,8,8,,9.4
15,0,0,14,7,12,20,9,11,9,,9.7
17,0,0,13,8,11,20,10,10,9,,9.8
18,0,0,12,6,10,22,11,10,9,,9.8
19,0,0,12,8,10,21,7,11,9,,9.7
16,0,0,13,8,11,19,12,10,9,,9.8
17,0,0,14,7,12,19,12,10,10,,10.1
19,0,0,12,8,12,20,11,11,11,,10.4
17,0,0,12,7,12,21,9,9,7,,9.4
18,0,0,11,7,13,21,9,10,8,,9.7
17,0,0,12,7,13,21,10,9,12,,10.1
18,0,0,11,7,11,22,13,12,10,,10.4
17,0,0,11,8,14,21,9,11,9,,10
17,0,0,11,7,15,20,12,11,11,,10.4
16,0,0,11,8,13,21,10,15,9,,10.3
16,0,0,11,7,14,19,9,12,9,,9.7
16,0,0,10,7,12,22,9,11,10,,9.7
16,0,0,10,7,17,19,9,10,10,,9.8
16,0,0,9,7,16,21,11,15,9,,10.4
19,0,0,9,5,11,23,11,10,10,,9.8
18,0,0,11,7,12,22,10,12,13,,10.5
17,0,0,11,6,12,21,9,13,10,,9.9
19,0,0,14,7,13,22,10,11,9,,10.5
17,0,0,10,6,12,19,10,11,8,,9.3
17,0,0,13,6,13,21,11,10,8,,9.9
19,0,0,11,6,16,19,9,9,8,,9.7
20,0,0,9,6,15,18,11,9,10,,9.8
20,0,0,9,6,13,20,10,10,9,,9.7
20,0,0,10,8,12,21,10,13,11,,10.5
18,0,0,9,7,13,20,9,13,12,,10.1
18,0,0,9,5,16,20,8,13,10,,9.9
18,0,0,9,5,15,22,10,12,9,,10
19,0,0,10,6,12,22,11,11,11,,10.2
18,0,0,8,6,12,22,9,12,13,,10
19,0,0,8,8,11,25,10,11,8,,10
20,0,0,10,8,13,22,11,13,13,,11
18,0,0,9,8,12,24,9,9,9,,9.8
19,0,0,10,7,15,24,11,9,12,,10.7
20,0,0,8,8,13,24,11,10,10,,10.4
19,0,0,11,6,14,23,10,11,10,,10.4
21,0,0,9,8,15,26,9,11,10,,10.9
20,0,0,9,8,15,27,9,13,10,,11.1
21,0,0,10,6,15,29,11,12,10,,11.4
22,0,0,11,5,14,28,10,9,10,,10.9
18,0,0,10,5,13,26,9,9,9,,9.9
19,0,0,9,9,15,27,10,10,7,,10.6
20,0,0,9,7,16,27,9,10,7,,10.5
19,0,0,8,8,15,26,8,10,11,,10.5
18,0,0,8,7,14,26,9,10,9,,10.1
19,0,0,9,9,16,26,7,11,9,,10.6
19,0,0,7,7,17,25,7,9,10,,10.1
18,0,0,10,8,16,24,9,12,7,,10.4
19,0,0,8,5,15,22,10,12,8,,9.9
20,0,0,10,7,18,24,10,12,11,,11.2
21,0,0,9,6,14,28,11,10,12,,11.1
19,0,0,10,6,13,28,9,9,9,,10.3
21,0,0,7,5,13,25,8,10,9,,9.8
21,0,0,9,5,13,24,7,10,9,,9.8
18,0,0,9,5,16,25,7,11,8,,9.9
19,0,0,8,6,15,26,7,10,8,,9.9
18,0,0,9,5,15,25,7,10,9,,9.8
19,0,0,9,6,13,28,8,10,11,,10.4
19,0,0,8,6,13,27,7,11,7,,9.8
18,0,0,7,6,13,23,8,10,7,,9.2
21,0,0,11,5,14,27,8,11,9,,10.6
18,0,0,8,6,15,26,7,9,11,,10
21,0,0,10,5,13,27,9,10,6,,10.1
20,0,0,8,5,16,25,8,13,6,,10.1
21,0,0,8,6,16,26,6,13,5,,10.1
20,0,0,8,6,16,25,6,14,10,,10.5
18,0,0,7,5,15,24,7,11,7,,9.4
22,0,0,8,5,15,26,6,10,7,,9.9
20,0,0,8,5,16,25,9,11,9,,10.3
19,0,0,9,6,16,25,7,10,8,,10
23,0,0,8,6,14,27,6,12,8,,10.4
20,0,0,10,6,14,27,6,10,8,,10.1
20,0,0,9,5,13,29,6,12,10,,10.4
18,0,0,9,8,13,28,7,10,5,,9.8
21,0,0,7,5,18,26,6,9,9,,10.1
21,0,0,8,7,16,27,5,11,8,,10.3
21,0,0,8,7,17,27,5,9,7,,10.1
20,0,0,8,7,15,24,5,9,11,,9.9
22,0,0,8,6,14,24,7,9,10,,10
23,0,0,7,6,14,26,5,10,8,,9.9
24,0,0,9,7,14,26,5,15,10,,11
20,0,0,7,8,14,25,6,13,12,,10.5
20,0,0,8,7,15,25,6,14,9,,10.4
19,0,0,9,5,17,29,5,12,8,,10.4
20,0,0,7,8,18,28,6,13,7,,10.7
22,0,0,9,6,18,27,5,12,6,,10.5
23,0,0,9,7,14,25,6,10,8,,10.2
20,0,0,8,6,16,24,5,9,6,,9.4
20,0,0,8,7,16,23,5,9,5,,9.3
19,0,0,8,7,16,25,5,9,7,,9.6
21,0,0,8,7,19,24,5,13,5,,10.2
21,0,0,9,7,16,24,5,11,9,,10.2
21,0,0,9,8,15,25,5,11,7,,10.1
20,0,0,9,7,15,22,7,8,6,,9.4
20,0,0,7,8,15,22,5,8,7,,9.2
23,0,0,9,7,16,26,5,11,7,,10.4
21,0,0,9,7,17,28,7,11,7,,10.7
18,0,0,12,7,15,25,6,12,7,,10.2
19,0,0,7,5,15,27,5,11,10,,9.9
21,0,0,9,6,16,26,5,10,8,,10.1
23,0,0,8,6,16,26,5,11,7,,10.2
23,0,0,8,7,16,26,5,9,5,,9.9
22,0,0,9,8,16,26,5,12,11,,10.9
22,0,0,8,7,16,26,6,11,7,,10.3
21,0,0,11,7,16,25,5,13,8,,10.6
25,0,0,9,6,18,24,6,9,6,,10.3
21,0,0,9,7,18,25,5,8,8,,10.1
23,0,0,8,7,19,23,5,10,8,,10.3
22,0,0,9,7,19,24,5,11,7,,10.4
22,0,0,7,6,20,25,5,11,9,,10.5
21,0,0,9,5,18,25,5,9,7,,9.9
22,0,0,9,8,18,28,6,9,7,,10.7
21,0,0,7,6,20,26,6,7,8,,10.1
21,0,0,8,7,19,29,5,6,7,,10.2
22,0,0,9,7,18,25,5,6,5,,9.7
22,0,0,7,8,17,25,5,7,5,,9.6
23,0,0,8,8,18,26,6,7,5,,10.1
22,0,0,8,7,19,28,6,11,5,,10.6
22,0,0,7,8,20,28,6,9,6,,10.6
24,0,0,7,8,20,28,5,7,6,,10.5
23,0,0,7,6,20,26,5,6,8,,10.1
23,0,0,10,7,18,26,5,9,10,,10.8
22,0,0,6,6,17,25,5,10,9,,10
22,0,0,7,5,20,27,6,12,5,,10.4
22,0,0,9,5,17,27,5,7,10,,10.2
22,0,0,6,6,18,28,6,6,8,,10
22,0,0,6,9,18,30,7,9,7,,10.8
21,0,0,6,6,19,29,5,12,9,,10.7
23,0,0,7,8,18,28,6,9,9,,10.8
22,0,0,8,6,17,27,5,12,7,,10.4
22,0,0,8,5,16,27,5,11,7,,10.1
23,0,0,7,9,16,28,5,13,10,,11.1
22,0,0,8,7,17,28,5,9,12,,10.8
23,0,0,7,5,22,31,5,8,7,,10.8
23,0,0,7,8,18,31,5,10,10,,11.2
23,0,0,8,6,22,33,6,8,8,,11.4
22,0,0,6,7,19,31,6,10,9,,11
24,0,0,7,5,19,29,6,10,10,,11
23,0,0,6,6,18,28,5,10,6,,10.2
22,0,0,8,7,18,31,6,9,7,,10.8
22,0,0,8,7,20,31,4,9,8,,10.9
23,0,0,9,7,18,33,5,8,10,,11.3
23,0,0,8,8,22,31,4,8,9,,11.3
22,0,0,11,9,20,31,4,13,11,,12.1
23,0,0,8,6,19,31,4,10,10,,11.1
22,0,0,7,5,17,33,5,13,9,,11.1
21,0,0,8,7,19,32,5,12,9,,11.3
21,0,0,8,7,21,33,5,11,10,,11.6
22,0,0,8,7,21,31,5,10,13,,11.7
24,0,0,8,5,22,31,4,8,8,,11
24,0,0,7,8,22,30,4,8,11,,11.4
24,0,0,9,8,21,29,4,6,8,,10.9
25,0,0,10,9,20,31,4,9,10,,11.8
22,0,0,7,7,19,32,4,10,8,,10.9
21,0,0,9,6,20,34,4,11,13,,11.8
24,0,0,7,6,20,33,4,8,11,,11.3
22,0,0,6,7,21,30,4,8,11,,10.9
23,0,0,7,9,17,31,4,8,11,,11
23,0,0,9,7,19,31,5,8,12,,11.4
23,0,0,8,6,22,31,5,10,11,,11.6
21,0,0,8,8,20,30,5,8,9,,10.9
21,0,0,8,7,19,31,5,11,8,,11
21,0,0,9,7,23,31,4,11,12,,11.8
21,0,0,7,5,21,30,4,8,12,,10.8
23,0,0,8,6,19,31,4,5,9,,10.5
22,0,0,7,9,21,30,4,4,7,,10.4
22,0,0,6,5,19,29,4,4,5,,9.4
22,0,0,6,5,18,33,4,4,5,,9.7
23,0,0,6,8,18,32,4,4,6,,10.1
24,0,0,6,7,17,31,4,4,6,,9.9
